iter	Logloss
0	0.6913119278
1	0.6899597592
2	0.6890281653
3	0.68738624
4	0.6864373563
5	0.6856373343
6	0.6846860384
7	0.6840740118
8	0.6832041893
9	0.6826622398
10	0.6821502599
11	0.6816036935
12	0.6808158712
13	0.6803925986
14	0.6800877863
15	0.6798261397
16	0.6797009476
17	0.6794092963
18	0.6792006721
19	0.6788137185
20	0.6785926539
21	0.6783131009
22	0.6780080498
23	0.6775965311
24	0.6774007942
25	0.6771593397
26	0.6768039008
27	0.6765248624
28	0.676196438
29	0.6759779964
30	0.6755581869
31	0.6752174545
32	0.6750734139
33	0.6745947153
34	0.6744800738
35	0.6743815833
36	0.6742266812
37	0.6741028188
38	0.6739519705
39	0.6737854639
40	0.6736184413
41	0.6734999747
42	0.6733620639
43	0.6732297937
44	0.6730198794
45	0.6728414301
46	0.6725910163
47	0.6724844559
48	0.672240105
49	0.672116648
50	0.6720560564
51	0.6719775313
52	0.6717729826
53	0.6716068255
54	0.6714035621
55	0.6712691828
56	0.6711768857
57	0.6711151132
58	0.671039018
59	0.6709801488
60	0.6709276318
61	0.6708592832
62	0.670794349
63	0.6707294258
64	0.6706517203
65	0.6705561138
66	0.6705174219
67	0.6704653931
68	0.6703645299
69	0.6701913287
70	0.6701503303
71	0.6700574267
72	0.6699024023
73	0.669776302
74	0.6696597784
75	0.6694329625
76	0.6690987256
77	0.6690459593
78	0.6689995658
79	0.6688908477
80	0.6688444864
81	0.6687991606
82	0.6686320975
83	0.668545716
84	0.6684959371
85	0.6684427955
86	0.6683735218
87	0.6682989121
88	0.6681154147
89	0.6680057351
90	0.6679220583
91	0.6678238869
92	0.6677500446
93	0.667597393
94	0.6675324445
95	0.6674935198
96	0.6674377514
97	0.6674066644
98	0.667361164
99	0.6671016961
100	0.6669792938
101	0.6669304947
102	0.6668393918
103	0.6667615478
104	0.6667115047
105	0.6666754472
106	0.6665832787
107	0.6665150485
108	0.6664343996
109	0.6663686022
110	0.6663001204
111	0.6662555211
112	0.666077478
113	0.6660376012
114	0.6660150499
115	0.6659285421
116	0.6658685918
117	0.6657912663
118	0.6657100424
119	0.6656349375
120	0.6655523801
121	0.6655122091
122	0.665321735
123	0.6650861982
124	0.6650049659
125	0.6649586594
126	0.6648910124
127	0.6648432464
128	0.6647732226
129	0.66474752
130	0.6646672806
131	0.6645737577
132	0.6645226017
133	0.6644837839
134	0.6644525947
135	0.664327333
136	0.6640978489
137	0.6640471149
138	0.6640056562
139	0.6639446933
140	0.6638529664
141	0.6638350076
142	0.6637333461
143	0.663658549
144	0.6636060249
145	0.6635574823
146	0.6635235401
147	0.6634619492
148	0.6634198798
149	0.6633139906
150	0.6632814767
151	0.6632121602
152	0.6631451031
153	0.6630856811
154	0.6630071943
155	0.6629467682
156	0.6628840371
157	0.6628117296
158	0.6626707059
159	0.6625637147
160	0.6624802934
161	0.6623896115
162	0.6623174244
163	0.6622659979
164	0.662164759
165	0.6621284866
166	0.6620631686
167	0.6619919821
168	0.6619320958
169	0.6617749909
170	0.6617137202
171	0.6616619989
172	0.661593927
173	0.6615194201
174	0.6614476846
175	0.6613650626
176	0.6613095573
177	0.6612137879
178	0.6611437409
179	0.6610687428
180	0.6609883396
181	0.660867643
182	0.6607854605
183	0.6606246659
184	0.6605624369
185	0.6604751796
186	0.6603262575
187	0.6601604892
188	0.6600500616
189	0.6599279439
190	0.6598424167
191	0.6597164255
192	0.6594523322
193	0.6593315306
194	0.6592260761
195	0.6591467244
196	0.6589932147
197	0.6588806162
198	0.6588198116
199	0.6587411648
200	0.6586343538
201	0.6585347865
202	0.6584394495
203	0.658343606
204	0.6581640204
205	0.6580622966
206	0.6579373904
207	0.6577529065
208	0.6575881298
209	0.6575057518
210	0.6574494483
211	0.6573832385
212	0.6573150132
213	0.6572518186
214	0.6571091121
215	0.6569214663
216	0.6567181548
217	0.6566199387
218	0.6563568947
219	0.6563021201
220	0.6562563335
221	0.6561534356
222	0.6560833689
223	0.6558915295
224	0.6557565125
225	0.6556599587
226	0.6555278109
227	0.6554539246
228	0.6553110362
229	0.6551571496
230	0.6549592122
231	0.6548535445
232	0.6547549249
233	0.6546759324
234	0.6545757622
235	0.654473796
236	0.6543904407
237	0.6542628773
238	0.6540299219
239	0.6539423333
240	0.6538329719
241	0.6537640297
242	0.6536907221
243	0.6536277075
244	0.6534978751
245	0.6534132354
246	0.6533528241
247	0.6533022373
248	0.6532311762
249	0.652966163
250	0.652865445
251	0.6527087077
252	0.6526033835
253	0.6525369237
254	0.6523930034
255	0.6522901349
256	0.6521536749
257	0.6520606188
258	0.6519810275
259	0.651928063
260	0.6518589485
261	0.6518120845
262	0.6517231061
263	0.651662901
264	0.6515988441
265	0.6515369459
266	0.6514681816
267	0.6513647001
268	0.651261638
269	0.6511678149
270	0.6510334587
271	0.6508823263
272	0.6508328775
273	0.6507749348
274	0.6506862959
275	0.6505673702
276	0.6504251202
277	0.6502969166
278	0.6502405248
279	0.6501964694
280	0.6501482653
281	0.6500356322
282	0.6499738706
283	0.6499199312
284	0.649807943
285	0.6497019848
286	0.6495447099
287	0.6494692923
288	0.6493207542
289	0.6492005002
