iter	Passed	Remaining
0	15	4418
1	30	4379
2	45	4334
3	60	4335
4	75	4316
5	90	4285
6	106	4286
7	121	4272
8	136	4257
9	151	4231
10	165	4203
11	180	4173
12	195	4159
13	210	4145
14	224	4118
15	239	4094
16	253	4070
17	267	4046
18	282	4025
19	296	4007
20	311	3987
21	325	3970
22	340	3958
23	355	3942
24	370	3922
25	384	3905
26	399	3888
27	414	3875
28	429	3861
29	444	3849
30	458	3834
31	473	3820
32	488	3804
33	503	3790
34	518	3774
35	532	3755
36	546	3738
37	560	3719
38	575	3703
39	589	3687
40	604	3670
41	618	3653
42	633	3636
43	647	3621
44	662	3606
45	676	3590
46	691	3575
47	706	3559
48	720	3545
49	735	3531
50	749	3514
51	764	3497
52	778	3481
53	793	3466
54	808	3453
55	822	3437
56	836	3421
57	850	3403
58	865	3388
59	879	3372
60	893	3355
61	908	3340
62	923	3326
63	937	3310
64	952	3295
65	966	3280
66	980	3263
67	994	3247
68	1009	3231
69	1023	3216
70	1037	3200
71	1050	3179
72	1062	3158
73	1075	3138
74	1088	3119
75	1101	3101
76	1114	3082
77	1127	3065
78	1140	3045
79	1152	3026
80	1165	3006
81	1177	2986
82	1190	2968
83	1203	2950
84	1215	2931
85	1227	2912
86	1240	2894
87	1253	2876
88	1265	2858
89	1278	2840
90	1290	2822
91	1303	2806
92	1316	2788
93	1329	2771
94	1342	2754
95	1354	2736
96	1366	2718
97	1378	2700
98	1390	2683
99	1403	2666
100	1415	2649
101	1428	2632
102	1440	2615
103	1453	2599
104	1465	2582
105	1478	2565
106	1490	2549
107	1503	2533
108	1516	2517
109	1529	2503
110	1542	2487
111	1556	2473
112	1569	2458
113	1582	2443
114	1595	2428
115	1608	2413
116	1621	2397
117	1635	2383
118	1648	2369
119	1662	2354
120	1675	2340
121	1688	2325
122	1701	2310
123	1715	2296
124	1728	2281
125	1741	2266
126	1753	2251
127	1766	2236
128	1779	2220
129	1791	2204
130	1804	2190
131	1817	2175
132	1829	2159
133	1841	2144
134	1854	2129
135	1867	2114
136	1880	2100
137	1892	2084
138	1905	2069
139	1917	2054
140	1930	2039
141	1943	2025
142	1955	2010
143	1968	1995
144	1980	1980
145	1992	1965
146	2004	1950
147	2017	1935
148	2029	1920
149	2042	1906
150	2054	1891
151	2066	1876
152	2079	1861
153	2091	1846
154	2103	1832
155	2115	1817
156	2127	1802
157	2139	1787
158	2152	1773
159	2165	1759
160	2177	1744
161	2190	1730
162	2202	1716
163	2214	1701
164	2226	1687
165	2239	1672
166	2251	1658
167	2264	1644
168	2276	1630
169	2289	1616
170	2301	1601
171	2313	1587
172	2325	1572
173	2337	1558
174	2349	1543
175	2361	1529
176	2373	1515
177	2385	1500
178	2397	1486
179	2409	1472
180	2421	1458
181	2434	1444
182	2445	1430
183	2458	1416
184	2470	1402
185	2482	1388
186	2494	1374
187	2507	1360
188	2519	1346
189	2532	1332
190	2544	1318
191	2556	1304
192	2569	1291
193	2581	1277
194	2593	1263
195	2606	1249
196	2618	1235
197	2630	1222
198	2642	1208
199	2654	1194
200	2666	1180
201	2678	1166
202	2690	1153
203	2702	1139
204	2718	1127
205	2731	1113
206	2744	1100
207	2757	1087
208	2770	1073
209	2782	1059
210	2794	1046
211	2807	1032
212	2819	1019
213	2832	1005
214	2845	992
215	2857	979
216	2870	965
217	2882	952
218	2895	938
219	2907	925
220	2919	911
221	2932	898
222	2944	884
223	2957	871
224	2969	857
225	2982	844
226	2995	831
227	3009	818
228	3023	805
229	3037	792
230	3052	779
231	3066	766
232	3080	753
233	3094	740
234	3108	727
235	3122	714
236	3135	701
237	3148	687
238	3161	674
239	3174	661
240	3187	648
241	3199	634
242	3211	621
243	3223	607
244	3235	594
245	3248	581
246	3260	567
247	3272	554
248	3285	540
249	3297	527
250	3310	514
251	3322	501
252	3334	487
253	3346	474
254	3358	460
255	3371	447
256	3384	434
257	3396	421
258	3408	407
259	3420	394
260	3431	381
261	3444	368
262	3456	354
263	3468	341
264	3480	328
265	3492	315
266	3504	301
267	3516	288
268	3528	275
269	3540	262
270	3552	249
271	3565	235
272	3576	222
273	3588	209
274	3601	196
275	3613	183
276	3625	170
277	3637	157
278	3650	143
279	3661	130
280	3673	117
281	3685	104
282	3698	91
283	3710	78
284	3723	65
285	3739	52
286	3755	39
287	3772	26
288	3788	13
289	3802	0
