iter	Logloss
0	0.6908018405
1	0.6896842122
2	0.6883616598
3	0.6865605355
4	0.6855696333
5	0.683413883
6	0.6808542941
7	0.6800643744
8	0.6782921018
9	0.6770367111
10	0.6754411198
11	0.6743757614
12	0.6739271406
13	0.6732338639
14	0.6721070472
15	0.6715539954
16	0.6710836835
17	0.6701227283
18	0.6698370249
19	0.6693986454
20	0.6689892498
21	0.6684789492
22	0.6680565482
23	0.6673972884
24	0.6670199265
25	0.6667179759
26	0.6662774487
27	0.6661275661
28	0.6656419149
29	0.6654073326
30	0.6652186211
31	0.6647618609
32	0.6645371271
33	0.6634527431
34	0.6631298672
35	0.6628156279
36	0.662510915
37	0.6623029356
38	0.6620177452
39	0.66164295
40	0.6614986801
41	0.6612982399
42	0.661173945
43	0.6609464154
44	0.6604257869
45	0.6602209748
46	0.6600584375
47	0.6599224979
48	0.6592659609
49	0.6590860107
50	0.6589566734
51	0.658781538
52	0.6584832241
53	0.6583602926
54	0.6582270823
55	0.6580916151
56	0.6578960269
57	0.6575805141
58	0.6574430944
59	0.657251502
60	0.6571300505
61	0.6569410881
62	0.6567393853
63	0.6565972791
64	0.6564785846
65	0.6563560855
66	0.6559934831
67	0.655509695
68	0.6553953336
69	0.655307179
70	0.6551438865
71	0.6549122335
72	0.654811565
73	0.6546579561
74	0.6545415577
75	0.6541658994
76	0.6539987006
77	0.6538579662
78	0.6536038659
79	0.6534486952
80	0.6532990838
81	0.6530808499
82	0.6527201909
83	0.6526430477
84	0.6522663944
85	0.6521887462
86	0.651807546
87	0.6516960255
88	0.6510966701
89	0.6509275023
90	0.6506145948
91	0.6504878119
92	0.6503552463
93	0.6501682953
94	0.6499822697
95	0.6498730794
96	0.6496503105
97	0.6495373502
98	0.6491884536
99	0.6490584918
100	0.6489740993
101	0.6486780101
102	0.6484410659
103	0.6482523543
104	0.647965533
105	0.6478754049
106	0.6476423665
107	0.6474355995
108	0.6473231399
109	0.6469310489
110	0.646762582
111	0.6465254168
112	0.6464345048
113	0.6463356928
114	0.6462213859
115	0.6459480114
116	0.6458736661
117	0.645141317
118	0.6450292967
119	0.6449298574
120	0.6446956581
121	0.6445334832
122	0.644373122
123	0.6442705903
124	0.644161398
125	0.6438158324
126	0.6436523733
127	0.6434596152
128	0.6433860808
129	0.6432672934
130	0.6429397206
131	0.6428596908
132	0.642732297
133	0.6425314453
134	0.6423490647
135	0.6419702818
136	0.641873972
137	0.6417303071
138	0.6415162683
139	0.6413821384
140	0.6411581159
141	0.6410138156
142	0.6408161519
143	0.640602943
144	0.6404004055
145	0.6402581349
146	0.6401422289
147	0.6399066912
148	0.6397132155
149	0.6394686835
150	0.6392724083
151	0.6389827867
152	0.6387866919
153	0.6386954766
154	0.6385773503
155	0.6384269801
156	0.6382693247
157	0.6382021274
158	0.6379870843
159	0.6377825204
160	0.6375927167
161	0.6374327622
162	0.6372796119
163	0.6371100311
164	0.6366576526
165	0.6364010694
166	0.6362260454
167	0.6359550036
168	0.6358006996
169	0.635590106
170	0.635459286
171	0.6350631644
172	0.6348494222
173	0.6346803407
174	0.634547164
175	0.6344238912
176	0.6342670071
177	0.6340850012
178	0.6338490406
179	0.6336966524
180	0.6335282665
181	0.6332684103
182	0.6331193325
183	0.6326705506
184	0.6321116803
185	0.6319828948
186	0.6317716962
187	0.6315874617
188	0.6314531308
189	0.6313277986
190	0.631165445
191	0.63092435
192	0.6307624502
193	0.6305148458
194	0.6303322437
195	0.6301795593
196	0.6300291449
197	0.6296695164
198	0.6294706437
199	0.6293274705
200	0.6291345428
201	0.6289427425
202	0.6285637898
203	0.6284148886
204	0.628168441
205	0.6279642614
206	0.6276813475
207	0.6274793446
208	0.6273164172
209	0.6271610946
210	0.6269301287
211	0.6267489882
212	0.626582452
213	0.626391588
214	0.6262128419
215	0.6259728929
216	0.6257984554
217	0.6251377941
218	0.6249816232
219	0.6247393868
220	0.6239211161
221	0.6237841039
222	0.6232252529
223	0.6229432249
224	0.6224046666
225	0.6222637721
226	0.6220024288
227	0.6216964725
228	0.6213894406
229	0.6212375365
230	0.6210689184
231	0.6208190525
232	0.6204085992
233	0.6200914491
234	0.6198980952
235	0.6197159362
236	0.6193450942
237	0.6192146679
238	0.6184414497
239	0.6182421601
240	0.6179576064
241	0.6177952596
242	0.6176037636
243	0.6170161616
244	0.6168130166
245	0.6166190966
246	0.6161000344
247	0.6159631231
248	0.6156632793
249	0.6154480939
250	0.6148466924
251	0.614622381
252	0.6144744893
253	0.6141598754
254	0.6139576773
255	0.6134927551
256	0.6132752909
257	0.6130915224
258	0.6128197619
259	0.6126615282
260	0.6125297995
261	0.6123908569
262	0.612202466
263	0.6121186447
264	0.6116809131
265	0.6107828201
266	0.610664254
267	0.6103131504
268	0.6094980392
269	0.60911254
270	0.6084321513
271	0.6080614692
272	0.6078110342
273	0.6076329968
274	0.6073272679
275	0.6072134402
276	0.6064459567
277	0.6062148928
278	0.6059940644
279	0.6057265472
280	0.605585321
281	0.6051967062
282	0.6047596376
283	0.6046209849
284	0.6043235784
285	0.6041707311
286	0.603747444
287	0.6036454666
288	0.603444647
289	0.603000127
290	0.6023588173
291	0.6018588922
292	0.6014516852
293	0.6012996434
294	0.6011679461
295	0.6010626472
296	0.6008694245
297	0.600700355
298	0.6003313296
299	0.6001698755
