iter	Passed	Remaining
0	257	77025
1	515	76772
2	772	76480
3	1031	76358
4	1289	76077
5	1548	75878
6	1809	75745
7	2066	75438
8	2325	75201
9	2584	74953
10	2845	74764
11	3105	74523
12	3362	74239
13	3622	73992
14	3879	73708
15	4136	73425
16	4395	73178
17	4654	72926
18	4912	72649
19	5170	72385
20	5429	72130
21	5688	71883
22	5945	71609
23	6206	71372
24	6464	71114
25	6721	70831
26	6978	70564
27	7236	70296
28	7496	70057
29	7754	69786
30	8013	69536
31	8272	69281
32	8529	69012
33	8788	68760
34	9046	68497
35	9304	68233
36	9563	67980
37	9821	67718
38	10083	67480
39	10347	67256
40	10606	67001
41	10864	66739
42	11122	66475
43	11379	66209
44	11636	65942
45	11892	65667
46	12150	65403
47	12407	65141
48	12667	64886
49	12923	64617
50	13181	64358
51	13439	64098
52	13699	63844
53	13954	63572
54	14211	63307
55	14469	63046
56	14728	62791
57	14984	62522
58	15239	62248
59	15496	61986
60	15755	61728
61	16011	61464
62	16269	61205
63	16526	60943
64	16784	60683
65	17043	60426
66	17301	60169
67	17558	59906
68	17815	59644
69	18074	59388
70	18336	59140
71	18596	58889
72	18854	58628
73	19115	58381
74	19373	58120
75	19632	57863
76	19887	57596
77	20146	57338
78	20403	57079
79	20662	56821
80	20917	56555
81	21178	56304
82	21436	56045
83	21694	55784
84	21950	55522
85	22208	55262
86	22466	55004
87	22723	54743
88	22983	54490
89	23243	54233
90	23502	53978
91	23760	53719
92	24015	53454
93	24274	53196
94	24531	52936
95	24787	52674
96	25046	52416
97	25301	52151
98	25560	51894
99	25816	51633
100	26075	51377
101	26334	51120
102	26591	50859
103	26848	50599
104	27105	50338
105	27362	50078
106	27619	49818
107	27877	49560
108	28138	49307
109	28397	49049
110	28657	48795
111	28914	48534
112	29170	48274
113	29430	48017
114	29687	47758
115	29943	47496
116	30201	47238
117	30461	46983
118	30718	46722
119	30975	46462
120	31234	46205
121	31491	45947
122	31748	45686
123	32003	45424
124	32260	45164
125	32518	44906
126	32775	44646
127	33031	44386
128	33289	44128
129	33546	43868
130	33803	43608
131	34060	43349
132	34319	43092
133	34577	42834
134	34833	42574
135	35090	42315
136	35348	42057
137	35606	41799
138	35862	41538
139	36119	41279
140	36376	41020
141	36634	40762
142	36890	40501
143	37146	40241
144	37405	39984
145	37662	39725
146	37917	39465
147	38176	39208
148	38432	38948
149	38691	38691
150	38947	38431
151	39204	38172
152	39464	37916
153	39723	37659
154	39980	37401
155	40237	37142
156	40496	36885
157	40752	36625
158	41007	36365
159	41264	36106
160	41521	35847
161	41778	35589
162	42034	35329
163	42289	35069
164	42546	34810
165	42804	34552
166	43059	34293
167	43318	34036
168	43576	33778
169	43831	33518
170	44087	33258
171	44345	33001
172	44602	32742
173	44863	32487
174	45124	32232
175	45380	31972
176	45637	31714
177	45894	31456
178	46152	31198
179	46409	30939
180	46665	30680
181	46921	30421
182	47177	30162
183	47433	29903
184	47691	29646
185	47947	29387
186	48205	29129
187	48465	28873
188	48722	28614
189	48979	28356
190	49240	28100
191	49498	27842
192	49754	27584
193	50012	27326
194	50268	27067
195	50527	26810
196	50782	26551
197	51040	26293
198	51296	26034
199	51554	25777
200	51809	25518
201	52064	25259
202	52324	25002
203	52581	24744
204	52837	24485
205	53092	24226
206	53349	23968
207	53604	23709
208	53860	23451
209	54114	23192
210	54372	22934
211	54629	22676
212	54885	22417
213	55143	22160
214	55399	21902
215	55656	21644
216	55914	21386
217	56170	21128
218	56426	20870
219	56684	20612
220	56942	20355
221	57202	20098
222	57461	19840
223	57718	19583
224	57975	19325
225	58233	19067
226	58489	18809
227	58747	18551
228	59005	18294
229	59261	18036
230	59518	17778
231	59776	17520
232	60033	17262
233	60293	17005
234	60553	16748
235	60808	16490
236	61065	16232
237	61322	15974
238	61580	15717
239	61838	15459
240	62096	15201
241	62352	14943
242	62608	14685
243	62865	14428
244	63121	14170
245	63379	13912
246	63640	13655
247	63898	13398
248	64157	13140
249	64415	12883
250	64675	12625
251	64931	12367
252	65187	12110
253	65446	11852
254	65704	11594
255	65962	11337
256	66218	11079
257	66475	10821
258	66734	10564
259	66991	10306
260	67247	10048
261	67504	9790
262	67761	9532
263	68018	9275
264	68276	9017
265	68535	8760
266	68791	8502
267	69049	8244
268	69307	7987
269	69564	7729
270	69825	7472
271	70082	7214
272	70339	6956
273	70596	6698
274	70853	6441
275	71110	6183
276	71368	5925
277	71624	5668
278	71881	5410
279	72137	5152
280	72393	4894
281	72651	4637
282	72908	4379
283	73165	4121
284	73421	3864
285	73678	3606
286	73934	3348
287	74191	3091
288	74449	2833
289	74706	2576
290	74963	2318
291	75220	2060
292	75478	1803
293	75735	1545
294	75992	1288
295	76248	1030
296	76504	772
297	76760	515
298	77017	257
299	77273	0
